,drug_row,drug_col,cell line,interaction
120,71384,208908,A375,ddi
121,60749,208908,A375,ddi
122,60699,208908,A375,ddi
123,60198,208908,A375,ddi
124,5426,208908,A375,ddi
125,3902,208908,A375,ddi
126,3690,208908,A375,ddi
127,2662,208908,A375,ddi
128,2187,208908,A375,ddi
129,2051,208908,A375,ddi
130,46926350,216326,A375,ddi
131,42611257,216326,A375,ddi
132,25183872,216326,A375,ddi
133,24978538,216326,A375,ddi
134,24775005,216326,A375,ddi
135,23725625,216326,A375,ddi
136,16722836,216326,A375,ddi
137,15951529,216326,A375,ddi
138,15547703,216326,A375,ddi
139,11351021,216326,A375,ddi
140,11228183,216326,A375,ddi
141,10127622,216326,A375,ddi
142,10126189,216326,A375,ddi
143,9949093,216326,A375,ddi
144,6450551,216326,A375,ddi
145,3062316,216326,A375,ddi
146,644241,216326,A375,ddi
147,444795,216326,A375,ddi
148,387447,216326,A375,ddi
149,208908,216326,A375,ddi
150,159324,216326,A375,ddi
151,123631,216326,A375,ddi
152,60749,216326,A375,ddi
153,60699,216326,A375,ddi
154,36462,216326,A375,ddi
155,5743,216326,A375,ddi
156,5426,216326,A375,ddi
157,5394,216326,A375,ddi
158,5311,216326,A375,ddi
159,3690,216326,A375,ddi
160,3385,216326,A375,ddi
161,2708,216326,A375,ddi
162,2662,216326,A375,ddi
163,2478,216326,A375,ddi
164,2094,216326,A375,ddi
165,46926350,23725625,A375,ddi
166,44632017,23725625,A375,ddi
167,42611257,23725625,A375,ddi
168,24978538,23725625,A375,ddi
169,24964624,23725625,A375,ddi
170,24856436,23725625,A375,ddi
171,24785538,23725625,A375,ddi
172,15951529,23725625,A375,ddi
173,11977753,23725625,A375,ddi
174,11964036,23725625,A375,ddi
175,11960529,23725625,A375,ddi
176,11626560,23725625,A375,ddi
177,11238147,23725625,A375,ddi
178,10127622,23725625,A375,ddi
179,10126189,23725625,A375,ddi
180,9840076,23725625,A375,ddi
181,6450551,23725625,A375,ddi
182,3062316,23725625,A375,ddi
183,3035714,23725625,A375,ddi
184,2726824,23725625,A375,ddi
185,644241,23725625,A375,ddi
186,387447,23725625,A375,ddi
187,300471,23725625,A375,ddi
188,216326,23725625,A375,ddi
189,208908,23725625,A375,ddi
190,123631,23725625,A375,ddi
191,60749,23725625,A375,ddi
192,60699,23725625,A375,ddi
193,60198,23725625,A375,ddi
194,36462,23725625,A375,ddi
195,5426,23725625,A375,ddi
196,5394,23725625,A375,ddi
197,5311,23725625,A375,ddi
198,3902,23725625,A375,ddi
199,3385,23725625,A375,ddi
200,2187,23725625,A375,ddi
201,1673,23725625,A375,ddi
202,1645,23725625,A375,ddi
203,11364421,24748204,A375,ddi
204,10126189,24748204,A375,ddi
205,5494449,24748204,A375,ddi
206,46926350,24785538,A375,ddi
207,24964624,24785538,A375,ddi
208,23725625,24785538,A375,ddi
209,11977753,24785538,A375,ddi
210,11960529,24785538,A375,ddi
211,10127622,24785538,A375,ddi
212,3062316,24785538,A375,ddi
213,208908,24785538,A375,ddi
214,123631,24785538,A375,ddi
215,60749,24785538,A375,ddi
216,60198,24785538,A375,ddi
217,5311,24785538,A375,ddi
218,3902,24785538,A375,ddi
219,23725625,24856436,A375,ddi
220,300471,24856436,A375,ddi
221,123631,24856436,A375,ddi
222,60749,24856436,A375,ddi
223,60699,24856436,A375,ddi
224,42611257,24964624,A375,ddi
225,24978538,24964624,A375,ddi
226,24785538,24964624,A375,ddi
227,23725625,24964624,A375,ddi
228,16736978,24964624,A375,ddi
229,15951529,24964624,A375,ddi
230,11626560,24964624,A375,ddi
231,11455910,24964624,A375,ddi
232,11228183,24964624,A375,ddi
233,10127622,24964624,A375,ddi
234,10126189,24964624,A375,ddi
235,644241,24964624,A375,ddi
236,300471,24964624,A375,ddi
237,123631,24964624,A375,ddi
238,60749,24964624,A375,ddi
239,60699,24964624,A375,ddi
240,60198,24964624,A375,ddi
241,3902,24964624,A375,ddi
242,2187,24964624,A375,ddi
243,46926350,24978538,A375,ddi
244,42611257,24978538,A375,ddi
245,24964624,24978538,A375,ddi
246,23725625,24978538,A375,ddi
247,11977753,24978538,A375,ddi
248,11960529,24978538,A375,ddi
249,11626560,24978538,A375,ddi
250,11455910,24978538,A375,ddi
251,11364421,24978538,A375,ddi
252,11228183,24978538,A375,ddi
253,10127622,24978538,A375,ddi
254,10126189,24978538,A375,ddi
255,9826528,24978538,A375,ddi
256,6450551,24978538,A375,ddi
257,3062316,24978538,A375,ddi
258,644241,24978538,A375,ddi
259,387447,24978538,A375,ddi
260,216326,24978538,A375,ddi
261,208908,24978538,A375,ddi
262,123631,24978538,A375,ddi
263,60749,24978538,A375,ddi
264,60699,24978538,A375,ddi
265,39562,24978538,A375,ddi
266,36462,24978538,A375,ddi
267,5426,24978538,A375,ddi
268,5394,24978538,A375,ddi
269,5311,24978538,A375,ddi
270,2708,24978538,A375,ddi
271,44632017,3062316,A375,ddi
272,42611257,3062316,A375,ddi
273,25183872,3062316,A375,ddi
274,24978538,3062316,A375,ddi
275,24785538,3062316,A375,ddi
276,24775005,3062316,A375,ddi
277,23725625,3062316,A375,ddi
278,16722836,3062316,A375,ddi
279,15951529,3062316,A375,ddi
280,11626560,3062316,A375,ddi
281,11364421,3062316,A375,ddi
282,11228183,3062316,A375,ddi
283,10127622,3062316,A375,ddi
284,10126189,3062316,A375,ddi
285,9911830,3062316,A375,ddi
286,6450551,3062316,A375,ddi
287,5494449,3062316,A375,ddi
288,644241,3062316,A375,ddi
289,444795,3062316,A375,ddi
290,216326,3062316,A375,ddi
291,159324,3062316,A375,ddi
292,123631,3062316,A375,ddi
293,60749,3062316,A375,ddi
294,60699,3062316,A375,ddi
295,54454,3062316,A375,ddi
296,5426,3062316,A375,ddi
297,5212,3062316,A375,ddi
298,3902,3062316,A375,ddi
299,3690,3062316,A375,ddi
300,2719,3062316,A375,ddi
301,2708,3062316,A375,ddi
302,2662,3062316,A375,ddi
303,2478,3062316,A375,ddi
304,2187,3062316,A375,ddi
305,2051,3062316,A375,ddi
306,42611257,387447,A375,ddi
307,25183872,387447,A375,ddi
308,24978538,387447,A375,ddi
309,24775005,387447,A375,ddi
310,23725625,387447,A375,ddi
311,15547703,387447,A375,ddi
312,11626560,387447,A375,ddi
313,11455910,387447,A375,ddi
314,11364421,387447,A375,ddi
315,11351021,387447,A375,ddi
316,11228183,387447,A375,ddi
317,10127622,387447,A375,ddi
318,10126189,387447,A375,ddi
319,9949093,387447,A375,ddi
320,6450551,387447,A375,ddi
321,5494449,387447,A375,ddi
322,2828334,387447,A375,ddi
323,644241,387447,A375,ddi
324,444795,387447,A375,ddi
325,374536,387447,A375,ddi
326,300471,387447,A375,ddi
327,216326,387447,A375,ddi
328,159324,387447,A375,ddi
329,123631,387447,A375,ddi
330,71384,387447,A375,ddi
331,60749,387447,A375,ddi
332,60699,387447,A375,ddi
333,60490,387447,A375,ddi
334,5426,387447,A375,ddi
335,4211,387447,A375,ddi
336,3902,387447,A375,ddi
337,3690,387447,A375,ddi
338,2719,387447,A375,ddi
339,2708,387447,A375,ddi
340,2662,387447,A375,ddi
341,2478,387447,A375,ddi
342,2094,387447,A375,ddi
343,1673,387447,A375,ddi
344,46926350,44632017,A375,ddi
345,24775005,44632017,A375,ddi
346,23725625,44632017,A375,ddi
347,11626560,44632017,A375,ddi
348,3062316,44632017,A375,ddi
349,253078,44632017,A375,ddi
350,252682,44632017,A375,ddi
351,60699,44632017,A375,ddi
352,36462,44632017,A375,ddi
353,3690,44632017,A375,ddi
354,42611257,5311,A375,ddi
355,25183872,5311,A375,ddi
356,24978538,5311,A375,ddi
357,24785538,5311,A375,ddi
358,24775005,5311,A375,ddi
359,23725625,5311,A375,ddi
360,11626560,5311,A375,ddi
361,11364421,5311,A375,ddi
362,11228183,5311,A375,ddi
363,10127622,5311,A375,ddi
364,6450551,5311,A375,ddi
365,5494449,5311,A375,ddi
366,702558,5311,A375,ddi
367,644241,5311,A375,ddi
368,444795,5311,A375,ddi
369,216326,5311,A375,ddi
370,159324,5311,A375,ddi
371,123631,5311,A375,ddi
372,60749,5311,A375,ddi
373,60699,5311,A375,ddi
374,5426,5311,A375,ddi
375,3902,5311,A375,ddi
376,3690,5311,A375,ddi
377,2719,5311,A375,ddi
378,2662,5311,A375,ddi
379,1673,5311,A375,ddi
380,44632017,11626560,A375,ddi
381,42611257,11626560,A375,ddi
382,24978538,11626560,A375,ddi
383,24964624,11626560,A375,ddi
384,23725625,11626560,A375,ddi
385,17754438,11626560,A375,ddi
386,15951529,11626560,A375,ddi
387,11977753,11626560,A375,ddi
388,11960529,11626560,A375,ddi
389,11364421,11626560,A375,ddi
390,10127622,11626560,A375,ddi
391,9826528,11626560,A375,ddi
392,9826308,11626560,A375,ddi
393,6450551,11626560,A375,ddi
394,3062316,11626560,A375,ddi
395,644241,11626560,A375,ddi
396,387447,11626560,A375,ddi
397,208908,11626560,A375,ddi
398,123631,11626560,A375,ddi
399,60749,11626560,A375,ddi
400,60699,11626560,A375,ddi
401,36462,11626560,A375,ddi
402,5426,11626560,A375,ddi
403,5394,11626560,A375,ddi
404,5311,11626560,A375,ddi
405,3902,11626560,A375,ddi
406,3690,11626560,A375,ddi
407,3385,11626560,A375,ddi
408,2662,11626560,A375,ddi
409,2187,11626560,A375,ddi
410,44632017,24775005,A375,ddi
411,42611257,24775005,A375,ddi
412,11977753,24775005,A375,ddi
413,11364421,24775005,A375,ddi
414,10127622,24775005,A375,ddi
415,5284329,24775005,A375,ddi
416,5081913,24775005,A375,ddi
417,3062316,24775005,A375,ddi
418,387447,24775005,A375,ddi
419,253078,24775005,A375,ddi
420,216326,24775005,A375,ddi
421,208908,24775005,A375,ddi
422,60749,24775005,A375,ddi
423,57469,24775005,A375,ddi
424,5311,24775005,A375,ddi
425,3385,24775005,A375,ddi
426,44632017,252682,A375,ddi
427,44632017,253078,A375,ddi
428,24775005,253078,A375,ddi
429,5284329,253078,A375,ddi
430,2726824,253078,A375,ddi
431,702558,253078,A375,ddi
432,57469,253078,A375,ddi
433,44632017,36462,A375,ddi
434,42611257,36462,A375,ddi
435,24978538,36462,A375,ddi
436,23725625,36462,A375,ddi
437,15951529,36462,A375,ddi
438,11964036,36462,A375,ddi
439,11626560,36462,A375,ddi
440,11228183,36462,A375,ddi
441,10127622,36462,A375,ddi
442,10126189,36462,A375,ddi
443,5494449,36462,A375,ddi
444,2828334,36462,A375,ddi
445,644241,36462,A375,ddi
446,444795,36462,A375,ddi
447,216326,36462,A375,ddi
448,159324,36462,A375,ddi
449,148198,36462,A375,ddi
450,123631,36462,A375,ddi
451,71384,36462,A375,ddi
452,60749,36462,A375,ddi
453,60699,36462,A375,ddi
454,57469,36462,A375,ddi
455,39562,36462,A375,ddi
456,11683,36462,A375,ddi
457,6758,36462,A375,ddi
458,5743,36462,A375,ddi
459,5453,36462,A375,ddi
460,5426,36462,A375,ddi
461,4211,36462,A375,ddi
462,4139,36462,A375,ddi
463,4091,36462,A375,ddi
464,4055,36462,A375,ddi
465,3902,36462,A375,ddi
466,3690,36462,A375,ddi
467,3397,36462,A375,ddi
468,3385,36462,A375,ddi
469,2719,36462,A375,ddi
470,2708,36462,A375,ddi
471,2662,36462,A375,ddi
472,2478,36462,A375,ddi
473,2187,36462,A375,ddi
474,2141,36462,A375,ddi
475,2123,36462,A375,ddi
476,2094,36462,A375,ddi
477,1673,36462,A375,ddi
478,1645,36462,A375,ddi
479,44632017,3690,A375,ddi
480,11626560,3690,A375,ddi
481,3062316,3690,A375,ddi
482,387447,3690,A375,ddi
483,216326,3690,A375,ddi
484,208908,3690,A375,ddi
485,123631,3690,A375,ddi
486,71384,3690,A375,ddi
487,60749,3690,A375,ddi
488,60699,3690,A375,ddi
489,36462,3690,A375,ddi
490,5453,3690,A375,ddi
491,5426,3690,A375,ddi
492,5394,3690,A375,ddi
493,5311,3690,A375,ddi
494,4139,3690,A375,ddi
495,3902,3690,A375,ddi
496,3385,3690,A375,ddi
497,2708,3690,A375,ddi
498,2478,3690,A375,ddi
499,2141,3690,A375,ddi
500,2123,3690,A375,ddi
501,44632017,46926350,A375,ddi
502,24978538,46926350,A375,ddi
503,24785538,46926350,A375,ddi
504,23725625,46926350,A375,ddi
505,16722836,46926350,A375,ddi
506,11364421,46926350,A375,ddi
507,11228183,46926350,A375,ddi
508,10127622,46926350,A375,ddi
509,216326,46926350,A375,ddi
510,44632017,60699,A375,ddi
511,42611257,60699,A375,ddi
512,24978538,60699,A375,ddi
513,24964624,60699,A375,ddi
514,24856436,60699,A375,ddi
515,23725625,60699,A375,ddi
516,11960529,60699,A375,ddi
517,11626560,60699,A375,ddi
518,11228183,60699,A375,ddi
519,10127622,60699,A375,ddi
520,10126189,60699,A375,ddi
521,9840076,60699,A375,ddi
522,5288382,60699,A375,ddi
523,3062316,60699,A375,ddi
524,644241,60699,A375,ddi
525,444795,60699,A375,ddi
526,387447,60699,A375,ddi
527,354624,60699,A375,ddi
528,216326,60699,A375,ddi
529,208908,60699,A375,ddi
530,159324,60699,A375,ddi
531,123631,60699,A375,ddi
532,71384,60699,A375,ddi
533,60749,60699,A375,ddi
534,36462,60699,A375,ddi
535,5453,60699,A375,ddi
536,5426,60699,A375,ddi
537,5394,60699,A375,ddi
538,5311,60699,A375,ddi
539,3902,60699,A375,ddi
540,3690,60699,A375,ddi
541,3385,60699,A375,ddi
542,2708,60699,A375,ddi
543,2662,60699,A375,ddi
544,2478,60699,A375,ddi
545,2187,60699,A375,ddi
546,2141,60699,A375,ddi
547,2123,60699,A375,ddi
548,42623900,11524144,A375,ddi
549,25195294,11524144,A375,ddi
550,9826528,11524144,A375,ddi
551,5284329,11524144,A375,ddi
552,2726824,11524144,A375,ddi
553,444795,11524144,A375,ddi
554,6758,11524144,A375,ddi
555,4091,11524144,A375,ddi
556,2719,11524144,A375,ddi
557,1673,11524144,A375,ddi
558,42611257,11455910,A375,ddi
559,24978538,11455910,A375,ddi
560,24964624,11455910,A375,ddi
561,11228183,11455910,A375,ddi
562,11213558,11455910,A375,ddi
563,10126189,11455910,A375,ddi
564,387447,11455910,A375,ddi
565,42611257,11977753,A375,ddi
566,25195294,11977753,A375,ddi
567,24978538,11977753,A375,ddi
568,24785538,11977753,A375,ddi
569,24775005,11977753,A375,ddi
570,23725625,11977753,A375,ddi
571,16736978,11977753,A375,ddi
572,16722836,11977753,A375,ddi
573,15951529,11977753,A375,ddi
574,11964036,11977753,A375,ddi
575,11626560,11977753,A375,ddi
576,11364421,11977753,A375,ddi
577,11228183,11977753,A375,ddi
578,10127622,11977753,A375,ddi
579,6450551,11977753,A375,ddi
580,5494449,11977753,A375,ddi
581,644241,11977753,A375,ddi
582,123631,11977753,A375,ddi
583,60749,11977753,A375,ddi
584,60198,11977753,A375,ddi
585,5426,11977753,A375,ddi
586,3902,11977753,A375,ddi
587,2719,11977753,A375,ddi
588,2187,11977753,A375,ddi
589,1673,11977753,A375,ddi
590,42611257,123631,A375,ddi
591,24978538,123631,A375,ddi
592,24964624,123631,A375,ddi
593,24856436,123631,A375,ddi
594,24785538,123631,A375,ddi
595,23725625,123631,A375,ddi
596,17754438,123631,A375,ddi
597,15951529,123631,A375,ddi
598,11977753,123631,A375,ddi
599,11960529,123631,A375,ddi
600,11626560,123631,A375,ddi
601,11364421,123631,A375,ddi
602,11228183,123631,A375,ddi
603,10127622,123631,A375,ddi
604,9911830,123631,A375,ddi
605,9826528,123631,A375,ddi
606,6450551,123631,A375,ddi
607,5494449,123631,A375,ddi
608,5288382,123631,A375,ddi
609,3062316,123631,A375,ddi
610,644241,123631,A375,ddi
611,444795,123631,A375,ddi
612,387447,123631,A375,ddi
613,216326,123631,A375,ddi
614,208908,123631,A375,ddi
615,159324,123631,A375,ddi
616,60749,123631,A375,ddi
617,60699,123631,A375,ddi
618,60198,123631,A375,ddi
619,36462,123631,A375,ddi
620,5426,123631,A375,ddi
621,5394,123631,A375,ddi
622,5311,123631,A375,ddi
623,4091,123631,A375,ddi
624,3902,123631,A375,ddi
625,3690,123631,A375,ddi
626,3385,123631,A375,ddi
627,2719,123631,A375,ddi
628,2662,123631,A375,ddi
629,2478,123631,A375,ddi
630,2187,123631,A375,ddi
631,2141,123631,A375,ddi
632,2051,123631,A375,ddi
633,1673,123631,A375,ddi
634,42611257,159324,A375,ddi
635,15547703,159324,A375,ddi
636,10127622,159324,A375,ddi
637,10126189,159324,A375,ddi
638,9826528,159324,A375,ddi
639,6450551,159324,A375,ddi
640,5288382,159324,A375,ddi
641,3062316,159324,A375,ddi
642,3035714,159324,A375,ddi
643,644241,159324,A375,ddi
644,387447,159324,A375,ddi
645,216326,159324,A375,ddi
646,208908,159324,A375,ddi
647,123631,159324,A375,ddi
648,60749,159324,A375,ddi
649,60699,159324,A375,ddi
650,36462,159324,A375,ddi
651,5426,159324,A375,ddi
652,5394,159324,A375,ddi
653,5311,159324,A375,ddi
654,3902,159324,A375,ddi
655,3385,159324,A375,ddi
656,2662,159324,A375,ddi
657,2187,159324,A375,ddi
658,42611257,15951529,A375,ddi
659,24964624,15951529,A375,ddi
660,23725625,15951529,A375,ddi
661,11977753,15951529,A375,ddi
662,11626560,15951529,A375,ddi
663,3062316,15951529,A375,ddi
664,216326,15951529,A375,ddi
665,208908,15951529,A375,ddi
666,123631,15951529,A375,ddi
667,60198,15951529,A375,ddi
668,36462,15951529,A375,ddi
669,5426,15951529,A375,ddi
670,3397,15951529,A375,ddi
671,42611257,2187,A375,ddi
672,24964624,2187,A375,ddi
673,23725625,2187,A375,ddi
674,11977753,2187,A375,ddi
675,11960529,2187,A375,ddi
676,11626560,2187,A375,ddi
677,10127622,2187,A375,ddi
678,6450551,2187,A375,ddi
679,3062316,2187,A375,ddi
680,208908,2187,A375,ddi
681,159324,2187,A375,ddi
682,123631,2187,A375,ddi
683,60749,2187,A375,ddi
684,60699,2187,A375,ddi
685,60198,2187,A375,ddi
686,54454,2187,A375,ddi
687,36462,2187,A375,ddi
688,11683,2187,A375,ddi
689,5743,2187,A375,ddi
690,5426,2187,A375,ddi
691,5394,2187,A375,ddi
692,5212,2187,A375,ddi
693,4211,2187,A375,ddi
694,4091,2187,A375,ddi
695,3902,2187,A375,ddi
696,3397,2187,A375,ddi
697,3385,2187,A375,ddi
698,2662,2187,A375,ddi
699,42611257,300471,A375,ddi
700,24964624,300471,A375,ddi
701,24856436,300471,A375,ddi
702,23725625,300471,A375,ddi
703,10077147,300471,A375,ddi
704,9826308,300471,A375,ddi
705,644241,300471,A375,ddi
706,387447,300471,A375,ddi
707,6758,300471,A375,ddi
708,42611257,3385,A375,ddi
709,24775005,3385,A375,ddi
710,23725625,3385,A375,ddi
711,11626560,3385,A375,ddi
712,11228183,3385,A375,ddi
713,10127622,3385,A375,ddi
714,9949093,3385,A375,ddi
715,6450551,3385,A375,ddi
716,444795,3385,A375,ddi
717,216326,3385,A375,ddi
718,159324,3385,A375,ddi
719,123631,3385,A375,ddi
720,71384,3385,A375,ddi
721,60749,3385,A375,ddi
722,60699,3385,A375,ddi
723,60198,3385,A375,ddi
724,57469,3385,A375,ddi
725,54454,3385,A375,ddi
726,39562,3385,A375,ddi
727,36462,3385,A375,ddi
728,11683,3385,A375,ddi
729,5743,3385,A375,ddi
730,5453,3385,A375,ddi
731,5426,3385,A375,ddi
732,4211,3385,A375,ddi
733,4139,3385,A375,ddi
734,4091,3385,A375,ddi
735,3902,3385,A375,ddi
736,3690,3385,A375,ddi
737,3363,3385,A375,ddi
738,2719,3385,A375,ddi
739,2708,3385,A375,ddi
740,2662,3385,A375,ddi
741,2478,3385,A375,ddi
742,2187,3385,A375,ddi
743,2141,3385,A375,ddi
744,2123,3385,A375,ddi
745,2094,3385,A375,ddi
746,1673,3385,A375,ddi
747,42611257,4091,A375,ddi
748,11524144,4091,A375,ddi
749,444795,4091,A375,ddi
750,123631,4091,A375,ddi
751,60749,4091,A375,ddi
752,60198,4091,A375,ddi
753,54454,4091,A375,ddi
754,36462,4091,A375,ddi
755,6758,4091,A375,ddi
756,5212,4091,A375,ddi
757,4788,4091,A375,ddi
758,3902,4091,A375,ddi
759,3397,4091,A375,ddi
760,3385,4091,A375,ddi
761,2719,4091,A375,ddi
762,2662,4091,A375,ddi
763,2187,4091,A375,ddi
764,2094,4091,A375,ddi
765,2051,4091,A375,ddi
766,1673,4091,A375,ddi
767,42611257,444795,A375,ddi
768,25195294,444795,A375,ddi
769,11524144,444795,A375,ddi
770,10127622,444795,A375,ddi
771,9826528,444795,A375,ddi
772,5288382,444795,A375,ddi
773,5284329,444795,A375,ddi
774,3062316,444795,A375,ddi
775,2726824,444795,A375,ddi
776,387447,444795,A375,ddi
777,216326,444795,A375,ddi
778,208908,444795,A375,ddi
779,135411,444795,A375,ddi
780,123631,444795,A375,ddi
781,60749,444795,A375,ddi
782,60699,444795,A375,ddi
783,57469,444795,A375,ddi
784,36462,444795,A375,ddi
785,6758,444795,A375,ddi
786,5453,444795,A375,ddi
787,5426,444795,A375,ddi
788,5394,444795,A375,ddi
789,5311,444795,A375,ddi
790,4788,444795,A375,ddi
791,4211,444795,A375,ddi
792,4201,444795,A375,ddi
793,4114,444795,A375,ddi
794,4091,444795,A375,ddi
795,3397,444795,A375,ddi
796,3385,444795,A375,ddi
797,2719,444795,A375,ddi
798,2708,444795,A375,ddi
799,2662,444795,A375,ddi
800,2478,444795,A375,ddi
801,42611257,5288382,A375,ddi
802,10127622,5288382,A375,ddi
803,444795,5288382,A375,ddi
804,374536,5288382,A375,ddi
805,159324,5288382,A375,ddi
806,123631,5288382,A375,ddi
807,60749,5288382,A375,ddi
808,60699,5288382,A375,ddi
809,6758,5288382,A375,ddi
810,2719,5288382,A375,ddi
811,2662,5288382,A375,ddi
812,1673,5288382,A375,ddi
813,42611257,5394,A375,ddi
814,24978538,5394,A375,ddi
815,23725625,5394,A375,ddi
816,11626560,5394,A375,ddi
817,11228183,5394,A375,ddi
818,10127622,5394,A375,ddi
819,9840076,5394,A375,ddi
820,6450551,5394,A375,ddi
821,3035714,5394,A375,ddi
822,644241,5394,A375,ddi
823,444795,5394,A375,ddi
824,216326,5394,A375,ddi
825,159324,5394,A375,ddi
826,123631,5394,A375,ddi
827,60749,5394,A375,ddi
828,60699,5394,A375,ddi
829,60198,5394,A375,ddi
830,57469,5394,A375,ddi
831,39562,5394,A375,ddi
832,5453,5394,A375,ddi
833,5426,5394,A375,ddi
834,4211,5394,A375,ddi
835,4139,5394,A375,ddi
836,3902,5394,A375,ddi
837,3690,5394,A375,ddi
838,3363,5394,A375,ddi
839,2719,5394,A375,ddi
840,2708,5394,A375,ddi
841,2662,5394,A375,ddi
842,2478,5394,A375,ddi
843,2187,5394,A375,ddi
844,2123,5394,A375,ddi
845,1673,5394,A375,ddi
846,1645,5394,A375,ddi
847,42611257,5426,A375,ddi
848,25183872,5426,A375,ddi
849,24978538,5426,A375,ddi
850,23725625,5426,A375,ddi
851,16722836,5426,A375,ddi
852,15951529,5426,A375,ddi
853,11977753,5426,A375,ddi
854,11626560,5426,A375,ddi
855,11228183,5426,A375,ddi
856,10127622,5426,A375,ddi
857,10126189,5426,A375,ddi
858,9949093,5426,A375,ddi
859,6450551,5426,A375,ddi
860,3062316,5426,A375,ddi
861,644241,5426,A375,ddi
862,444795,5426,A375,ddi
863,387447,5426,A375,ddi
864,216326,5426,A375,ddi
865,208908,5426,A375,ddi
866,159324,5426,A375,ddi
867,123631,5426,A375,ddi
868,60749,5426,A375,ddi
869,60699,5426,A375,ddi
870,57469,5426,A375,ddi
871,54454,5426,A375,ddi
872,36462,5426,A375,ddi
873,11683,5426,A375,ddi
874,5743,5426,A375,ddi
875,5453,5426,A375,ddi
876,5394,5426,A375,ddi
877,5311,5426,A375,ddi
878,5212,5426,A375,ddi
879,3690,5426,A375,ddi
880,3397,5426,A375,ddi
