,drug_row,drug_col,cell_line_name,drug_row_cid,drug_col_cid,synergy_zip,synergy_bliss,synergy_loewe,synergy_hsa,S,label
59,ABT-888,DINACICLIB,A375,11960529,46926350,7.615515044,6.571177334,-57.05374378,4.189631712,21.110125,NA
60,AZD1775,DINACICLIB,A375,24856436,46926350,6.885068927,6.552814347,1.767549763,8.442941432,21.624625,Synergy
61,BEZ-235,DINACICLIB,A375,11977753,46926350,6.353051456,6.079131635,4.016660504,8.524238031,5.609875,Synergy
62,BORTEZOMIB,DINACICLIB,A375,387447,46926350,3.239873425,1.990796816,-2.622676887,2.322238409,7.928875,NA
63,DASATINIB,DINACICLIB,A375,3062316,46926350,1.923534114,2.743709291,-0.38002163,4.350896197,19.27725,NA
64,DEXAMETHASONE,DINACICLIB,A375,5743,46926350,6.105701827,7.10673469,-56.80647815,4.430563524,17.432125,NA
65,ETOPOSIDE,DINACICLIB,A375,36462,46926350,-16.34903278,-37.88367929,-40.20559704,-35.28333946,-50.27375,Antagonism
66,GELDANAMYCIN,DINACICLIB,A375,5288382,46926350,10.33859058,9.881646769,7.559752608,11.53825633,24.011875,Synergy
67,LAPATINIB,DINACICLIB,A375,208908,46926350,7.288630032,7.132604215,-39.94528502,6.586445696,26.806375,NA
68,METFORMIN,DINACICLIB,A375,4091,46926350,5.779953413,2.169429899,-10.64536114,1.201859594,18.0005,NA
69,MK-2206,DINACICLIB,A375,24964624,46926350,6.714806291,4.624620886,-55.7308565,3.744998605,16.65,NA
70,MK-5108,DINACICLIB,A375,24748204,46926350,2.600900249,3.527967282,-21.66286894,2.234646169,14.963375,NA
71,PD325901,DINACICLIB,A375,9826528,46926350,-0.737446002,-0.843873007,-0.657373987,2.874662405,-22.675375,NA
72,TEMOZOLOMIDE,DINACICLIB,A375,5394,46926350,-2.906424688,-6.298918842,-35.27575313,-6.108636462,1.61825,Antagonism
73,ZOLINZA,DINACICLIB,A375,5311,46926350,-0.354036584,-4.014894734,-9.571288595,-3.324110456,22.338375,Antagonism
74,5-FU,GELDANAMYCIN,A375,3385,5288382,6.660729665,5.552249706,3.981723797,8.96572221,34.201,Synergy
75,ABT-888,GELDANAMYCIN,A375,11960529,5288382,8.802286998,8.363041084,-31.85667155,5.686170344,17.63625,NA
76,AZD1775,GELDANAMYCIN,A375,24856436,5288382,7.900751685,7.040908114,7.337641546,12.25791967,22.65975,Synergy
77,BORTEZOMIB,GELDANAMYCIN,A375,387447,5288382,3.783504976,4.142192552,-1.451990483,5.595426941,13.106875,NA
78,DASATINIB,GELDANAMYCIN,A375,3062316,5288382,9.866179816,8.79443659,10.3189652,13.32934254,31.80375,Synergy
79,DEXAMETHASONE,GELDANAMYCIN,A375,5743,5288382,5.976358638,5.763857972,-34.78123405,2.761607844,13.202,NA
80,ETOPOSIDE,GELDANAMYCIN,A375,36462,5288382,0.370257797,-1.047878923,1.455255182,4.708839247,2.63625,NA
81,LAPATINIB,GELDANAMYCIN,A375,208908,5288382,9.509703251,7.00337996,-6.135426655,9.466814022,25.8135,NA
82,METFORMIN,GELDANAMYCIN,A375,4091,5288382,2.379292176,-2.144625573,-49.06230632,-1.662189031,12.582,NA
83,MK-2206,GELDANAMYCIN,A375,24964624,5288382,7.71656356,5.615348209,-16.89615247,6.346399095,16.513125,NA
84,MK-5108,GELDANAMYCIN,A375,24748204,5288382,0.566640578,0.465763267,-16.53215232,0.497380737,6.00475,NA
85,PD325901,GELDANAMYCIN,A375,9826528,5288382,-3.104386519,-3.904431876,0.979112841,3.543513041,-21.053875,NA
86,TEMOZOLOMIDE,GELDANAMYCIN,A375,5394,5288382,0.700085565,-0.038877513,-7.528875171,1.967547835,7.11775,NA
87,ZOLINZA,GELDANAMYCIN,A375,5311,5288382,-3.866631649,-9.132135198,-10.61318318,-5.551198329,14.24825,Antagonism
88,5-FU,LAPATINIB,A375,3385,208908,-0.275786553,-0.005642405,-2.86645154,2.105755801,27.04575,NA
89,AZD1775,LAPATINIB,A375,24856436,208908,6.41448314,6.937115387,-18.74518479,8.890228807,24.543875,NA
90,DEXAMETHASONE,LAPATINIB,A375,5743,208908,1.52203279,-0.474881361,-3.63707187,-4.462679406,6.3565,NA
91,ETOPOSIDE,LAPATINIB,A375,36462,208908,3.538930264,1.192008525,-18.07071551,3.439559607,13.333875,NA
92,METFORMIN,LAPATINIB,A375,4091,208908,-1.227208961,-5.234485274,-1.671975138,-4.593679406,-2.842375,Antagonism
93,TEMOZOLOMIDE,LAPATINIB,A375,5394,208908,4.59188005,4.443275954,5.877489966,4.692648303,6.53925,Synergy
94,ZOLINZA,LAPATINIB,A375,5311,208908,3.746663128,3.881584917,-10.73932293,6.013074104,39.588625,NA
95,5-FU,MK-2206,A375,3385,24964624,-0.348220373,-0.307119636,-3.906253881,0.274920588,22.076125,NA
96,AZD1775,MK-2206,A375,24856436,24964624,8.785986737,8.128844098,-25.01762634,8.809657009,21.09075,NA
97,DEXAMETHASONE,MK-2206,A375,5743,24964624,4.668070595,9.060223149,6.243699974,4.975911006,6.999375,Synergy
98,ETOPOSIDE,MK-2206,A375,36462,24964624,11.70240955,11.25363671,-7.783671967,12.04999711,16.321125,NA
99,LAPATINIB,MK-2206,A375,208908,24964624,5.789442616,7.350216291,10.06112262,8.217517761,8.9633125,Synergy
100,METFORMIN,MK-2206,A375,4091,24964624,2.636220674,0.817268004,2.035630777,0.984397427,0.328625,Synergy
101,MK-5108,MK-2206,A375,24748204,24964624,1.889563937,5.521741976,2.33671842,4.342246694,4.375375,Synergy
102,TEMOZOLOMIDE,MK-2206,A375,5394,24964624,3.956251325,3.642712737,4.352001553,3.461985088,4.13875,Synergy
103,ZOLINZA,MK-2206,A375,5311,24964624,2.361036664,-1.314926941,-21.88669612,-0.674507021,34.63075,NA
104,5-FU,MK-5108,A375,3385,24748204,1.287070196,4.884385592,1.721361464,4.55042238,28.212125,Synergy
105,AZD1775,MK-5108,A375,24856436,24748204,-1.15908729,-0.941492984,-28.27256017,-0.94795799,11.948,Antagonism
106,DEXAMETHASONE,MK-5108,A375,5743,24748204,8.037066682,12.24868675,2.802112651,8.114169961,12.77275,Synergy
107,ETOPOSIDE,MK-5108,A375,36462,24748204,4.810523447,6.413347116,-9.346447291,6.726483711,13.751,NA
108,LAPATINIB,MK-5108,A375,208908,24748204,1.521514442,4.276773548,3.880359162,4.046967912,7.87125,Synergy
109,METFORMIN,MK-5108,A375,4091,24748204,1.777615656,5.63710497,3.037385451,4.343608719,6.872625,Synergy
110,TEMOZOLOMIDE,MK-5108,A375,5394,24748204,-3.826619696,-2.03774207,-5.839856059,-3.314207939,7.755875,Antagonism
111,ZOLINZA,MK-5108,A375,5311,24748204,3.083635538,5.544572097,-5.272874787,5.439665959,41.246125,NA
112,5-FU,PD325901,A375,3385,9826528,-2.677488746,-3.967036183,-3.862708097,0.55132272,-9.268625,NA
113,AZD1775,PD325901,A375,24856436,9826528,0.758851739,0.438227528,4.266045466,8.105621878,-13.5805,Synergy
114,DEXAMETHASONE,PD325901,A375,5743,9826528,4.756043708,4.55744537,-21.66331914,2.509898344,-1.876875,NA
115,ETOPOSIDE,PD325901,A375,36462,9826528,-2.664600723,-3.63727907,2.865074271,5.508422296,-27.47375,NA
116,LAPATINIB,PD325901,A375,208908,9826528,3.724130977,4.008160971,-17.84410975,5.796179594,-4.721,NA
117,METFORMIN,PD325901,A375,4091,9826528,-0.357158061,-2.565375377,-26.51255613,-2.236351656,-12.1895,Antagonism
118,MK-2206,PD325901,A375,24964624,9826528,2.514482063,0.160087643,-22.71074536,0.793601469,-9.33725,NA
119,MK-5108,PD325901,A375,24748204,9826528,-1.135996524,-3.861819862,-27.27074328,-3.535086031,-12.692875,Antagonism
120,TEMOZOLOMIDE,PD325901,A375,5394,9826528,-3.036764679,-4.051681273,-11.43269795,-0.96890728,-18.399625,Antagonism
121,ZOLINZA,PD325901,A375,5311,9826528,-8.151649402,-12.89981288,-10.32799965,-7.857036199,-17.48925,Antagonism
122,5-FU,TEMOZOLOMIDE,A375,3385,5394,-6.069069492,-6.922506009,-23.24441596,-5.66485937,13.538125,Antagonism
123,DEXAMETHASONE,TEMOZOLOMIDE,A375,5743,5394,-0.40795287,2.67131014,-1.388650813,-1.099456306,4.5835,NA
124,ETOPOSIDE,TEMOZOLOMIDE,A375,36462,5394,-12.20563193,-25.25955487,-39.60874684,-22.9507532,-28.660625,Antagonism
125,METFORMIN,TEMOZOLOMIDE,A375,4091,5394,-0.670279949,-2.758418258,-3.180449983,-3.003036621,-5.919,Antagonism
126,ZOLINZA,TEMOZOLOMIDE,A375,5311,5394,3.429073041,2.349207497,-11.98622834,3.330735693,34.772375,NA
127,5-FU,ZOLINZA,A375,3385,5311,1.988998314,2.302564913,-3.927640009,4.703193042,52.810375,NA
128,DEXAMETHASONE,ZOLINZA,A375,5743,5311,3.112980781,6.227371185,-35.39946839,3.092850094,38.208625,NA
129,ETOPOSIDE,ZOLINZA,A375,36462,5311,-13.8992158,-31.33537434,-31.50754126,-26.93178446,-27.308625,Antagonism
130,METFORMIN,ZOLINZA,A375,4091,5311,-0.499430859,-2.103153789,-77.36239032,-1.599462406,32.074,Antagonism
131,5-FLUORO-2'-DEOXYURIDINE,AMIFOSTINE,A549,3363,2141,7.913693117,7.220621512,-62.84657035,6.869781881,20.8,NA
132,5-FU,AMIFOSTINE,A549,3385,2141,3.421537483,1.380982165,-18.12970576,0.776227,-4.957,NA
133,ALTRETAMINE,AMIFOSTINE,A549,2123,2141,2.600175176,-0.848624953,-5.925269829,-5.185887253,-1.0985,NA
134,ANASTROZOLE,AMIFOSTINE,A549,2187,2141,-1.56706334,1.117058377,3.007960825,1.845883986,-2.854,NA
135,AXITINIB,AMIFOSTINE,A549,6450551,2141,-2.370834867,-6.034486214,-16.46287348,-6.488973879,-0.916,Antagonism
136,BUSULFAN,AMIFOSTINE,A549,2478,2141,-4.691916594,-0.086902426,-19.45712204,1.504181178,8.3335,NA
137,CELECOXIB,AMIFOSTINE,A549,2662,2141,-1.001756692,-2.004415612,-1.720356756,-1.518871051,-1.988,Antagonism
138,CHEMBL277800,AMIFOSTINE,A549,354624,2141,7.386187792,13.79647668,-14.39686271,13.32311521,30.867,NA
139,CHLORAMBUCIL,AMIFOSTINE,A549,2708,2141,-1.984103356,-4.231801064,-24.31462856,-5.300016884,-3.9095,Antagonism
140,CRIZOTINIB,AMIFOSTINE,A549,11626560,2141,-2.507511277,-1.022817787,-24.43664964,-2.439584857,9.5605,Antagonism
141,DASATINIB,AMIFOSTINE,A549,3062316,2141,-0.81740522,-2.589049212,-15.09389627,-0.826884785,1.8645,Antagonism
142,DEXRAZOXANE,AMIFOSTINE,A549,71384,2141,0.824390281,-0.045976847,-13.79809483,-0.863771667,0.0305,NA
143,EXEMESTANE,AMIFOSTINE,A549,60198,2141,-11.96560066,-21.36263893,-40.77614875,-22.29121911,-21.004,Antagonism
144,GEFITINIB,AMIFOSTINE,A549,123631,2141,-4.372921477,-2.230681188,-19.62441183,-3.212884785,1.81,Antagonism
145,IMIQUIMOD,AMIFOSTINE,A549,57469,2141,-0.253166799,-0.515134824,0.527842761,-1.192464153,0.6875,NA
146,LAPATINIB,AMIFOSTINE,A549,208908,2141,-4.796907901,-2.431677398,-9.990677231,-0.884844111,2.31,Antagonism
147,LENALIDOMIDE,AMIFOSTINE,A549,216326,2141,-1.004038508,2.681182795,-1.110144221,1.489226326,3.4075,NA
148,LETROZOLE,AMIFOSTINE,A549,3902,2141,-2.151089086,-0.950711066,4.370228191,0.120282589,-1.8855,NA
149,MEGESTROL ACETATE,AMIFOSTINE,A549,11683,2141,-3.07522944,-4.189529373,-8.205503316,-5.383550044,-5.8875,Antagonism
150,METHOXSALEN,AMIFOSTINE,A549,4114,2141,0.380252451,0.885854258,0.567380811,0.556638644,0.5945,Synergy
151,MITOTANE,AMIFOSTINE,A549,4211,2141,6.139671407,1.501886082,4.188755583,1.025337437,-1.387,Synergy
152,NILOTINIB,AMIFOSTINE,A549,644241,2141,-0.640163448,-1.273327102,-1.295318184,-1.237849372,-1.922,Antagonism
153,PAZOPANIB HYDROCHLORIDE,AMIFOSTINE,A549,11525740,2141,-0.243655557,-0.998861523,-2.921153649,-2.232861568,-0.2355,Antagonism
154,PROCARBAZINE HYDROCHLORIDE,AMIFOSTINE,A549,9703,2141,-0.045420734,4.391607159,2.6318753,3.286297557,4.6705,NA
155,RUXOLITINIB,AMIFOSTINE,A549,25126798,2141,-3.359932211,-3.535605767,-14.68641531,-4.669084546,7.6765,Antagonism
156,TEMOZOLOMIDE,AMIFOSTINE,A549,5394,2141,-1.153201586,1.05215049,3.26967621,0.574226326,0.904,NA
157,THALIDOMIDE,AMIFOSTINE,A549,5426,2141,0.287104982,2.135566241,1.984963799,2.030582867,1.248,Synergy
158,THIOTEPA,AMIFOSTINE,A549,5453,2141,5.993436678,7.149128736,-23.02613127,6.776448548,12.086,NA
159,TRETINOIN,AMIFOSTINE,A549,444795,2141,-0.176256696,2.702710033,-18.95632054,2.282004104,7.4165,NA
160,VEMURAFENIB,AMIFOSTINE,A549,42611257,2141,-0.021169419,-5.1109759,-20.23584104,-7.599343224,-6.079,Antagonism
161,ZOLINZA,AMIFOSTINE,A549,5311,2141,-1.164251549,-0.097612862,-0.916651621,0.897206689,2.6235,NA
162,5-FLUORO-2'-DEOXYURIDINE,ANASTROZOLE,A549,3363,2187,0.153891593,-0.456550315,-16.01802148,-0.732484567,14.4405,NA
163,5-FU,ANASTROZOLE,A549,3385,2187,2.732025051,-3.872437191,-3.744061759,-3.241050044,-17.026,NA
164,ALTRETAMINE,ANASTROZOLE,A549,2123,2187,1.113841634,-6.534643318,-9.234225711,-10.56047253,-3.7915,NA
165,AXITINIB,ANASTROZOLE,A549,6450551,2187,-2.796373358,-3.653910693,-2.64275174,-3.595437863,3.0595,Antagonism
166,BUSULFAN,ANASTROZOLE,A549,2478,2187,-3.084005296,-0.116920516,-1.999061117,-2.002440341,9.0255,Antagonism
167,CELECOXIB,ANASTROZOLE,A549,2662,2187,2.26602636,0.139964292,-5.063771661,-4.285554076,-0.7465,NA
168,CHLORAMBUCIL,ANASTROZOLE,A549,2708,2187,-11.51135926,-6.961923876,-5.945029296,-6.340026378,0.9565,Antagonism
169,CRIZOTINIB,ANASTROZOLE,A549,11626560,2187,0.278280548,-0.524432203,-0.712560505,-1.446693962,14.689,NA
170,DASATINIB,ANASTROZOLE,A549,3062316,2187,-2.265653469,-0.166930918,-2.90901435,-0.931509874,5.3265,Antagonism
171,DEXRAZOXANE,ANASTROZOLE,A549,71384,2187,-0.972342962,-2.653930766,-2.105448853,-1.785337444,-3.3775,Antagonism
172,EXEMESTANE,ANASTROZOLE,A549,60198,2187,-0.276659261,-1.696941449,-0.03414363,-0.787839011,-3.6055,Antagonism
173,GEFITINIB,ANASTROZOLE,A549,123631,2187,2.327316321,1.950073481,1.609264878,2.982059659,3.601,Synergy
174,LAPATINIB,ANASTROZOLE,A549,208908,2187,-3.473004085,1.337894456,-0.326529228,-0.260572618,3.3075,NA
175,LENALIDOMIDE,ANASTROZOLE,A549,216326,2187,-3.48652253,-3.263597392,-2.073121256,-2.012773674,-1.8685,Antagonism
176,LETROZOLE,ANASTROZOLE,A549,3902,2187,1.552538436,-0.039153543,-3.655395418,-3.637805969,1.4255,NA
177,MEGESTROL ACETATE,ANASTROZOLE,A549,11683,2187,-3.766985028,-3.241837317,-2.821459439,-2.241835389,-4.763,Antagonism
178,MITOTANE,ANASTROZOLE,A549,4211,2187,0.465175267,1.762141336,-0.026341908,-0.257995896,1.1265,NA
179,PAZOPANIB HYDROCHLORIDE,ANASTROZOLE,A549,11525740,2187,-0.707401959,-5.07813445,-4.224502711,-5.672878086,-2.3535,Antagonism
180,RUXOLITINIB,ANASTROZOLE,A549,25126798,2187,-2.701654822,-1.723755281,-1.603511502,-2.415215641,2.9555,Antagonism
181,TEMOZOLOMIDE,ANASTROZOLE,A549,5394,2187,1.818724592,2.25462888,-3.420438295,-2.642220709,2.829,NA
182,THIOTEPA,ANASTROZOLE,A549,5453,2187,-7.702311981,-3.991503288,-4.644506645,-4.423506229,0.843,Antagonism
183,TRETINOIN,ANASTROZOLE,A549,444795,2187,-6.078899549,-1.630292185,-2.343819964,-1.879107008,4.2905,Antagonism
184,VEMURAFENIB,ANASTROZOLE,A549,42611257,2187,0.633497832,1.413137189,-0.012057954,-0.624215641,4.713,NA
185,5-FLUORO-2'-DEOXYURIDINE,BUSULFAN,A549,3363,2478,-4.180772335,-2.128788765,-3.416392771,-0.16130719,-14.9135,Antagonism
186,5-FU,BUSULFAN,A549,3385,2478,1.773315045,-0.533174879,-7.032490749,2.561371313,3.2415,NA
187,ALTRETAMINE,BUSULFAN,A549,2123,2478,-3.650372031,3.48154705,-4.389742844,-0.300141178,12.6585,NA
188,AXITINIB,BUSULFAN,A549,6450551,2478,-6.30303334,-6.016316535,-13.11621518,-6.214795117,10.613,Antagonism
189,CELECOXIB,BUSULFAN,A549,2662,2478,0.979439165,-0.602469448,-3.188550107,-0.728882233,-6.5395,NA
190,CHEMBL277800,BUSULFAN,A549,354624,2478,-3.715949109,-1.557945669,-2.326762385,-2.418871556,9.3195,Antagonism
191,CHLORAMBUCIL,BUSULFAN,A549,2708,2478,-4.886326731,-0.07945712,-3.364378379,0.84712527,12.7405,NA
192,CRIZOTINIB,BUSULFAN,A549,11626560,2478,-9.088498358,-4.670150533,-19.56377659,-4.244716569,23.6405,Antagonism
193,DASATINIB,BUSULFAN,A549,3062316,2478,-5.336659594,0.35178376,0.182443079,3.445343278,-1.247,NA
194,DEXRAZOXANE,BUSULFAN,A549,71384,2478,-2.418797467,-0.369825899,-0.884258188,2.936421248,1.9805,NA
195,EXEMESTANE,BUSULFAN,A549,60198,2478,-3.344666577,2.549284887,-10.73509451,2.929958603,16.2445,NA
196,GEFITINIB,BUSULFAN,A549,123631,2478,-0.427750646,3.21314335,3.356189299,6.415791936,16.341,NA
197,LAPATINIB,BUSULFAN,A549,208908,2478,-5.889143846,2.707048098,-21.21296227,5.025448222,9.9255,NA
198,LENALIDOMIDE,BUSULFAN,A549,216326,2478,0.15265058,5.117069122,5.198924429,5.269538217,18.1185,Synergy
199,LETROZOLE,BUSULFAN,A549,3902,2478,-2.368762573,2.796789921,-1.270546199,0.931970067,0.9925,NA
200,MEGESTROL ACETATE,BUSULFAN,A549,11683,2478,-5.150818782,3.79424023,3.738769467,4.08287155,12.495,NA
201,MITOTANE,BUSULFAN,A549,4211,2478,-5.421782064,-2.215488666,-1.421587871,-0.552171797,6.771,Antagonism
202,NILOTINIB,BUSULFAN,A549,644241,2478,-3.462504632,2.076951432,0.446306793,0.655573378,0.0815,NA
203,PAZOPANIB HYDROCHLORIDE,BUSULFAN,A549,11525740,2478,-3.383220245,-5.586826874,-7.758105773,-7.1600814,6.971,Antagonism
204,RUXOLITINIB,BUSULFAN,A549,25126798,2478,-4.25943188,-0.746652184,-3.36322668,-0.765525844,15.5865,Antagonism
205,TEMOZOLOMIDE,BUSULFAN,A549,5394,2478,-2.495073986,-0.826427837,-7.868452645,-4.465537067,2.9825,Antagonism
206,THIOTEPA,BUSULFAN,A549,5453,2478,-9.355052546,-1.615647468,1.078240611,1.714290889,13.18,NA
207,TRETINOIN,BUSULFAN,A549,444795,2478,-5.873572291,0.175070057,2.462948849,3.565358489,7.7155,NA
208,VEMURAFENIB,BUSULFAN,A549,42611257,2478,-4.848438135,-0.432936873,-6.539890128,-3.102303622,15.6655,Antagonism
209,ZOLINZA,BUSULFAN,A549,5311,2478,-10.10346476,-6.175282021,-3.890957729,-3.268261333,3.101,Antagonism
210,5-FLUORO-2'-DEOXYURIDINE,CHEMBL277800,A549,3363,354624,0.892162751,1.784165803,-13.63398345,1.572990111,14.6835,NA
211,5-FU,CHEMBL277800,A549,3385,354624,1.312258442,-1.789946545,-1.723164639,1.549649328,-23.905,NA
212,ALTRETAMINE,CHEMBL277800,A549,2123,354624,1.927146565,-2.323940019,-60.55179283,-5.167887259,-19.7035,NA
213,ANASTROZOLE,CHEMBL277800,A549,2187,354624,1.425903214,1.385948013,-5.026141503,-4.199442763,2.47925,NA
214,AXITINIB,CHEMBL277800,A549,6450551,354624,-2.060833019,-3.271710786,-12.85376014,-2.903217733,4.9925,Antagonism
215,CELECOXIB,CHEMBL277800,A549,2662,354624,0.80003104,2.393982875,-6.689400005,-3.174442814,1.2805,NA
